#query	KEGG_ko
k141_185412_2	ko:K01610
k141_743256_1	ko:K01908
k141_743256_2	ko:K01920
k141_743288_2	ko:K00852
k141_743288_3	ko:K02025
k141_743295_4	ko:K00674
k141_743295_7	ko:K00065
k141_372597_1	ko:K00600
k141_372597_2	ko:K02437
k141_372597_4	ko:K00281,ko:K00283
k141_187544_2	ko:K09927
k141_928248_1	ko:K01426
k141_928248_2	ko:K00666,ko:K12507
k141_743400_1	ko:K01999
k141_743400_2	ko:K01997
k141_743400_4	ko:K01998
k141_743400_5	ko:K01995
k141_743400_6	ko:K01996
k141_558093_2	ko:K07458
k141_187603_1	ko:K06997
k141_187603_2	ko:K00145
k141_187646_1	ko:K07318
k141_372740_1	ko:K01995
k141_372740_2	ko:K00001,ko:K00043
k141_928581_2	ko:K09997,ko:K10014,ko:K10022
k141_928581_3	ko:K10021,ko:K10025
k141_1113452_2	ko:K18364
k141_1113452_3	ko:K16050
k141_1113452_4	ko:K01469
k141_743865_1	ko:K00286
k141_743865_2	ko:K02221
k141_743865_3	ko:K08218
k141_188004_1	ko:K00767
k141_743877_2	ko:K00449
k141_188019_2	ko:K02844
k141_188019_3	ko:K09927
k141_188019_4	ko:K00681
k141_188019_5	ko:K13993
k141_188019_6	ko:K01681
k141_743929_2	ko:K07056
k141_743946_1	ko:K03190
k141_743946_3	ko:K03497
k141_929004_1	ko:K00315
k141_373190_1	ko:K02613
k141_929080_2	ko:K00031
k141_558852_1	ko:K02066
k141_558852_2	ko:K02065
k141_558859_2	ko:K11206
k141_188184_1	ko:K01966
k141_188184_3	ko:K01847,ko:K01848
k141_188184_4	ko:K06966
k141_929196_1	ko:K00826
k141_373294_1	ko:K02238
k141_373294_2	ko:K09928
k141_373294_3	ko:K09810
k141_373294_4	ko:K09808
k141_373294_5	ko:K14742
k141_373294_6	ko:K01972
k141_373294_7	ko:K03528
k141_373294_8	ko:K03529
k141_373294_9	ko:K09457
k141_373294_11	ko:K06204
k141_373294_12	ko:K06996
k141_373294_13	ko:K00571,ko:K00590
k141_373297_1	ko:K03110
k141_373297_2	ko:K03110
k141_373297_3	ko:K09812
k141_373297_4	ko:K09811
k141_373297_5	ko:K02518
k141_373297_6	ko:K22468
k141_373297_8	ko:K02848
k141_188300_1	ko:K03723
k141_188300_2	ko:K00134
k141_188300_3	ko:K00346
k141_188300_4	ko:K00347,ko:K03614
k141_188300_5	ko:K00348
k141_188300_6	ko:K00349
k141_188300_7	ko:K00350
k141_188300_8	ko:K00351,ko:K16246
k141_2205_1	ko:K17323
k141_2205_2	ko:K17323
k141_2205_3	ko:K17322
k141_2205_4	ko:K17325
k141_373316_2	ko:K01992
k141_558984_1	ko:K02343
k141_188383_3	ko:K01990
k141_744440_2	ko:K00571,ko:K00590
k141_744440_3	ko:K00122
k141_744440_5	ko:K00123
k141_559066_1	ko:K01657
k141_559066_2	ko:K01091
k141_559066_3	ko:K01783
k141_559066_4	ko:K00992
k141_559066_7	ko:K03771
k141_559066_8	ko:K02528
k141_188413_2	ko:K00331
k141_188418_1	ko:K01256
k141_929456_1	ko:K16886
k141_929456_4	ko:K03390,ko:K16887
k141_188507_1	ko:K01999
k141_373566_1	ko:K13051
k141_373566_3	ko:K01923
k141_188548_1	ko:K09458
k141_188548_2	ko:K03529
k141_1114403_1	ko:K22447
k141_373630_1	ko:K01469,ko:K01473
k141_1114506_1	ko:K01703
k141_559353_2	ko:K02626
k141_559353_6	ko:K00571
k141_559353_10	ko:K08602
k141_188729_3	ko:K02959
k141_188729_4	ko:K02860
k141_188729_5	ko:K00554
k141_188729_6	ko:K02884
k141_188729_7	ko:K04763
k141_188729_8	ko:K03981
k141_188729_9	ko:K00003,ko:K12524
k141_188729_10	ko:K01733
k141_188729_11	ko:K02836
k141_2622_3	ko:K15470,ko:K21118
k141_559503_2	ko:K02259
k141_2728_1	ko:K03599
k141_2728_2	ko:K03600
k141_2728_3	ko:K01419
k141_188837_1	ko:K21990
k141_188837_2	ko:K10026
k141_373878_1	ko:K00799,ko:K11209
k141_2744_1	ko:K01952
k141_2744_2	ko:K02026
k141_2744_5	ko:K01990,ko:K09695
k141_2744_6	ko:K09694
k141_2744_7	ko:K08973
k141_1114657_2	ko:K00831
k141_1114657_3	ko:K00058
k141_1114657_4	ko:K02502
k141_1114657_5	ko:K02314
k141_1114657_7	ko:K02650
k141_1114657_8	ko:K06045
k141_1114657_10	ko:K07323
k141_1114657_11	ko:K01662
k141_1114657_12	ko:K03526
k141_1114657_16	ko:K00425,ko:K08738
k141_1114657_17	ko:K17052
k141_1114657_18	ko:K00240,ko:K03886
k141_1114657_19	ko:K00412
k141_1114657_22	ko:K00425,ko:K08738
k141_1114657_23	ko:K08738
k141_1114657_26	ko:K02305,ko:K07152
k141_1114657_27	ko:K03179
k141_1114657_30	ko:K06044
k141_1114657_31	ko:K00975
k141_1114657_33	ko:K00700,ko:K01236
k141_1114657_34	ko:K00602
k141_1114657_36	ko:K01945
k141_1114657_37	ko:K07566
k141_1114657_38	ko:K01620
k141_1114657_42	ko:K07391
k141_744949_2	ko:K04748
k141_744949_4	ko:K19416
k141_744949_7	ko:K06942
k141_744949_8	ko:K01056
k141_744949_9	ko:K02897
k141_744949_12	ko:K02492
k141_744949_13	ko:K02835
k141_744949_14	ko:K02493
k141_744949_15	ko:K21029
k141_744949_16	ko:K03743
k141_744949_17	ko:K03630
k141_744949_18	ko:K13038
k141_744949_19	ko:K15778
k141_744949_20	ko:K00930
k141_744949_21	ko:K05501
k141_744949_22	ko:K00762
k141_188909_1	ko:K01895
k141_188909_2	ko:K01902,ko:K08692
k141_188911_1	ko:K01895
k141_188911_2	ko:K01902,ko:K08692
k141_744977_2	ko:K21498
k141_744977_3	ko:K19191
k141_373968_1	ko:K01775
k141_373968_2	ko:K02314
k141_188942_1	ko:K04768
k141_929822_1	ko:K03427
k141_929822_2	ko:K19696
k141_929822_3	ko:K00760
k141_929822_4	ko:K12960
k141_929822_5	ko:K00571,ko:K00590
k141_929822_6	ko:K08218
k141_929822_7	ko:K00525
k141_929822_8	ko:K00526
k141_559637_1	ko:K03705
k141_559637_2	ko:K00858
k141_188951_3	ko:K07133
k141_188951_4	ko:K07133
k141_1114764_1	ko:K03074
k141_2878_4	ko:K00020
k141_1114776_1	ko:K13499
k141_745058_1	ko:K02379
k141_374088_1	ko:K03852
k141_929945_2	ko:K07106
k141_745174_3	ko:K00666
k141_1114948_2	ko:K18979
k141_1114948_3	ko:K17758,ko:K17759
k141_1114948_4	ko:K06925
k141_1114948_7	ko:K03572
k141_1114948_8	ko:K01465
k141_374133_1	ko:K01870
k141_374133_2	ko:K03101
k141_374133_3	ko:K02049
k141_374133_4	ko:K02050
k141_374133_5	ko:K02050
k141_745225_1	ko:K00411
k141_745225_2	ko:K00412
k141_559809_3	ko:K00558
k141_559809_4	ko:K00558
k141_559809_8	ko:K00558
k141_929972_2	ko:K00952
k141_929972_5	ko:K01874
k141_929972_6	ko:K01251
k141_929972_9	ko:K05710
k141_929972_10	ko:K01916
k141_929972_11	ko:K01883
k141_929972_13	ko:K06942
k141_929972_17	ko:K01990
k141_929972_18	ko:K01992
k141_929972_24	ko:K00798
k141_929972_28	ko:K01759
k141_929972_32	ko:K01768
k141_929972_35	ko:K01754
k141_374168_1	ko:K01408
k141_745316_3	ko:K00249
k141_745316_4	ko:K02053
k141_745316_5	ko:K02054
k141_745316_6	ko:K02055
k141_745316_10	ko:K17735
k141_745316_11	ko:K08299
k141_745316_12	ko:K00108
k141_374272_3	ko:K01897
k141_3087_1	ko:K03427
k141_3087_3	ko:K01154
k141_3087_6	ko:K01153
k141_3087_10	ko:K01775
k141_3087_12	ko:K01761
k141_3087_13	ko:K07095
k141_3087_15	ko:K01595
k141_3087_16	ko:K06186
k141_3087_17	ko:K03631
k141_3087_18	ko:K03705
k141_3087_19	ko:K03687
k141_3087_20	ko:K04043
k141_3087_21	ko:K03686
k141_3087_22	ko:K00215
k141_745380_1	ko:K01438
k141_745380_4	ko:K00077
k141_745380_6	ko:K07148
k141_189341_1	ko:K00937
k141_560017_1	ko:K02065
k141_189380_1	ko:K00824
k141_189380_2	ko:K00767
k141_560114_1	ko:K01627
k141_560114_2	ko:K01689
k141_930239_1	ko:K02201
k141_374466_2	ko:K03716
k141_374489_1	ko:K01997
k141_374489_2	ko:K01998
k141_3260_3	ko:K03695
k141_3260_4	ko:K03218
k141_745562_1	ko:K18800
k141_745562_2	ko:K03185
k141_745562_3	ko:K01262
k141_745562_5	ko:K09892
k141_745562_6	ko:K09888
k141_745562_7	ko:K01409
k141_745562_9	ko:K06213
k141_745562_10	ko:K08483
k141_745562_11	ko:K11189
k141_745562_12	ko:K02821
k141_745562_13	ko:K06023
k141_745562_14	ko:K02806
k141_745562_15	ko:K05808
k141_745562_16	ko:K03092
k141_745562_18	ko:K06861
k141_745562_19	ko:K09774
k141_745562_21	ko:K03270
k141_189592_2	ko:K08591
k141_745694_1	ko:K01409
k141_745694_2	ko:K08591
k141_189595_1	ko:K08591
k141_189598_1	ko:K00826
k141_374580_8	ko:K06215
k141_374580_9	ko:K08681
k141_374580_14	ko:K01873
k141_374580_15	ko:K01737
k141_374580_16	ko:K01724
k141_374580_17	ko:K01953
k141_374580_18	ko:K01756
k141_374580_19	ko:K14415
k141_374580_22	ko:K02948
k141_374580_25	ko:K00946
k141_374580_35	ko:K00548
k141_374580_36	ko:K00548
k141_374580_41	ko:K02924
k141_374580_42	ko:K02910
k141_374580_43	ko:K03265
k141_560454_1	ko:K15765
k141_560454_2	ko:K15762
k141_560454_3	ko:K16969
k141_560454_4	ko:K16968
k141_560454_5	ko:K00606
k141_560454_6	ko:K07090
k141_3379_3	ko:K03734
k141_3379_4	ko:K19342
k141_3379_5	ko:K01992,ko:K19341
k141_3379_6	ko:K01990,ko:K19340
k141_3379_7	ko:K07218
k141_3379_8	ko:K00376
k141_3379_9	ko:K19339
k141_3379_10	ko:K02069
k141_930729_1	ko:K01783
k141_930729_2	ko:K04771,ko:K04772
k141_560607_1	ko:K00937
k141_560607_2	ko:K00937
k141_560661_1	ko:K01480,ko:K12255,ko:K18459
k141_560661_2	ko:K03823
k141_560661_3	ko:K00989
k141_560679_1	ko:K03624
k141_560679_2	ko:K15268
k141_930832_2	ko:K00891
k141_930832_3	ko:K01735
k141_930832_4	ko:K10563
k141_930832_7	ko:K01992
k141_930832_8	ko:K01990
k141_930832_9	ko:K02913
k141_930832_10	ko:K02902
k141_930832_11	ko:K13038
k141_930832_12	ko:K01520
k141_930832_13	ko:K15778
k141_930832_14	ko:K00930
k141_930832_15	ko:K07552
k141_560718_2	ko:K14393
k141_560718_3	ko:K14393
k141_560718_7	ko:K03657,ko:K16898
k141_560718_9	ko:K01271,ko:K15783
k141_930867_1	ko:K00569
k141_3433_1	ko:K01649
k141_3433_2	ko:K21929
k141_189998_1	ko:K02118
k141_189998_2	ko:K02117
k141_189998_3	ko:K02121
k141_189998_4	ko:K02123
k141_189998_5	ko:K01011
k141_189998_6	ko:K03320
k141_189998_8	ko:K02119
k141_189998_10	ko:K07464
k141_189998_14	ko:K09903
k141_189998_15	ko:K06885
k141_1116062_1	ko:K16846
k141_1116062_2	ko:K16845
k141_190013_1	ko:K06016
k141_190013_2	ko:K00860
k141_190013_3	ko:K07090
k141_375058_8	ko:K04567
k141_375058_9	ko:K02836
k141_375058_10	ko:K07233
k141_3505_1	ko:K00384
k141_3505_2	ko:K00958
k141_3505_3	ko:K01626
k141_560910_1	ko:K09948
k141_560910_2	ko:K01599
k141_560910_3	ko:K07341
k141_560910_4	ko:K00266
k141_3511_4	ko:K00058
k141_3511_7	ko:K03124
k141_3511_9	ko:K02217
k141_3511_10	ko:K03294
k141_3511_13	ko:K13525
k141_3511_14	ko:K13993
k141_3511_16	ko:K03885
k141_3511_17	ko:K03768
k141_3511_19	ko:K03399
k141_3511_24	ko:K02323
k141_3511_25	ko:K10725
k141_190103_2	ko:K07451
k141_1116187_1	ko:K01256
k141_1116215_2	ko:K07152
k141_1116215_3	ko:K01649
k141_1116215_5	ko:K07303
k141_1116311_1	ko:K02002
k141_1116311_2	ko:K00215
k141_1116311_4	ko:K02053
k141_3611_11	ko:K03111
k141_3632_1	ko:K00794
k141_3632_2	ko:K08096
k141_746455_1	ko:K07673
k141_375255_2	ko:K02003
k141_1116374_2	ko:K00010
k141_1116374_3	ko:K02056
k141_746473_2	ko:K09736
k141_746473_4	ko:K00784
k141_746473_5	ko:K00948
k141_746473_6	ko:K05802
k141_3636_5	ko:K01821
k141_3636_6	ko:K11206
k141_3636_8	ko:K00626
k141_3636_9	ko:K07068
k141_3636_11	ko:K21636
k141_3636_12	ko:K00525
k141_3636_17	ko:K14568
k141_3636_19	ko:K03540
k141_3636_20	ko:K02966
k141_3636_21	ko:K06875
k141_3636_23	ko:K01644
k141_3636_26	ko:K07126
k141_3636_27	ko:K00793
k141_3636_28	ko:K02858
k141_3636_29	ko:K00794
k141_3636_30	ko:K08096
k141_931231_1	ko:K01997
k141_931231_2	ko:K01996
k141_931231_3	ko:K01995
k141_931231_6	ko:K03263
k141_931231_7	ko:K06927
k141_931231_8	ko:K03106
k141_931231_13	ko:K02036
k141_931231_14	ko:K02038
k141_931231_15	ko:K02037
k141_931231_17	ko:K02040
k141_746514_1	ko:K00835
k141_561145_2	ko:K20074
k141_931324_1	ko:K09710
k141_931324_2	ko:K00969,ko:K01488
k141_931324_3	ko:K00969,ko:K01488
k141_931324_4	ko:K09710
k141_931324_5	ko:K00783
k141_931324_6	ko:K06287
k141_190337_2	ko:K07454
k141_190337_3	ko:K01959
k141_746583_2	ko:K01687
k141_190352_4	ko:K03710
k141_190352_7	ko:K01466
k141_190352_9	ko:K01640
k141_190352_10	ko:K01704
k141_190352_11	ko:K01703
k141_190352_13	ko:K07045
k141_190352_16	ko:K00128
k141_561206_3	ko:K01462
k141_561206_4	ko:K06147,ko:K11085
k141_561206_5	ko:K03704
k141_561206_6	ko:K03386,ko:K03665
k141_561206_10	ko:K06020
k141_561206_13	ko:K03086
k141_561206_17	ko:K00020,ko:K00042
k141_561206_18	ko:K10111,ko:K10112
k141_561206_19	ko:K02026
k141_561206_20	ko:K02025,ko:K10237,ko:K15771
k141_561206_21	ko:K02027,ko:K10236
k141_561206_22	ko:K00363,ko:K05710
k141_561206_23	ko:K03593
k141_561206_24	ko:K13292
k141_561206_26	ko:K03582,ko:K16898
k141_561206_30	ko:K00060,ko:K07777
k141_561206_31	ko:K07738
k141_561206_32	ko:K00600
k141_561206_33	ko:K02939
k141_561206_36	ko:K07124
k141_561206_39	ko:K02503
k141_561206_43	ko:K03638
k141_561206_44	ko:K06998
k141_561206_51	ko:K03496
k141_561206_52	ko:K07316
k141_746660_2	ko:K00812
k141_375521_1	ko:K02033
k141_375521_3	ko:K02031,ko:K02032,ko:K13896
k141_3783_1	ko:K10838
k141_3826_4	ko:K14584
k141_375569_3	ko:K01692
k141_561311_2	ko:K00135,ko:K18601
k141_561379_1	ko:K03657
k141_3916_4	ko:K01091
k141_746786_1	ko:K00311
k141_746786_2	ko:K03521
k141_746786_3	ko:K03522
k141_746786_5	ko:K10439
k141_746786_6	ko:K10441
k141_746786_7	ko:K10440
k141_746786_10	ko:K03366
k141_746786_11	ko:K01574
k141_746786_12	ko:K03534
k141_3924_1	ko:K03851
k141_746813_1	ko:K01627
k141_746813_2	ko:K01689
k141_375708_1	ko:K03724
k141_561455_1	ko:K00620
k141_561455_2	ko:K06923
k141_561455_3	ko:K03574
k141_561455_4	ko:K02492
k141_561455_5	ko:K02835
k141_931518_3	ko:K01998
k141_190635_2	ko:K02013
k141_375744_1	ko:K00354,ko:K10680
k141_375744_3	ko:K18059
k141_375744_5	ko:K00666
k141_1116775_1	ko:K01990
k141_1116775_2	ko:K00311
k141_1116775_3	ko:K06938
k141_1116775_5	ko:K02014
k141_1116775_7	ko:K02844
k141_1116775_8	ko:K02848
k141_561481_1	ko:K03852
k141_561481_2	ko:K03852
k141_561491_1	ko:K00404
k141_561491_4	ko:K00128,ko:K00130
k141_4005_1	ko:K01878
k141_4005_2	ko:K02517
k141_931599_1	ko:K03427
k141_931599_2	ko:K03630
k141_931649_4	ko:K12574
k141_746985_1	ko:K07133
k141_561570_1	ko:K01996
k141_190801_1	ko:K03531
k141_931758_1	ko:K10441
k141_747023_2	ko:K01779
k141_747023_5	ko:K06118
k141_747023_8	ko:K00330
k141_747023_9	ko:K00331
k141_747023_10	ko:K13378
k141_747023_11	ko:K00334
k141_561605_4	ko:K03455
k141_561605_6	ko:K08153,ko:K08221
k141_561605_7	ko:K03183
k141_561605_8	ko:K03432
k141_561605_9	ko:K00261
k141_561637_1	ko:K00766
k141_561680_1	ko:K04482
k141_747072_1	ko:K04043
k141_747072_5	ko:K06895
k141_931811_1	ko:K07665
k141_931811_3	ko:K04771
k141_931811_4	ko:K03086
k141_931811_5	ko:K01354
k141_931811_6	ko:K15034
k141_931811_7	ko:K13993
k141_931811_12	ko:K13571
k141_561731_2	ko:K08296
k141_4323_1	ko:K01937
k141_4323_2	ko:K01627
k141_4323_3	ko:K01689
k141_4323_4	ko:K00991
k141_4323_5	ko:K01770
k141_375975_1	ko:K01907
k141_747163_4	ko:K05122,ko:K05129
k141_747214_1	ko:K01938
k141_931932_1	ko:K02988
k141_931932_2	ko:K02881
k141_931932_3	ko:K02933
k141_931932_4	ko:K02994
k141_931932_5	ko:K02954
k141_931932_6	ko:K02931
k141_561835_1	ko:K01807
k141_747263_4	ko:K02014
k141_561873_1	ko:K01682
k141_1117170_3	ko:K13525
k141_561915_2	ko:K03308
k141_561915_3	ko:K03664
k141_561915_5	ko:K00457
k141_747306_1	ko:K03529
k141_561989_1	ko:K01952
k141_561989_2	ko:K01952
k141_747398_1	ko:K01951
k141_747398_4	ko:K00859
k141_747398_5	ko:K02654
k141_747398_7	ko:K04755
k141_747398_8	ko:K04044
k141_376197_1	ko:K02004
k141_376197_2	ko:K02003
k141_376197_3	ko:K10804
k141_376197_4	ko:K00799,ko:K11209
k141_376202_1	ko:K13288
k141_376202_2	ko:K18979
k141_376202_3	ko:K17758,ko:K17759
k141_376202_4	ko:K06925
k141_376202_5	ko:K01448
k141_376202_6	ko:K03572
k141_376202_7	ko:K00791
k141_376202_8	ko:K03666
k141_376202_9	ko:K03665
k141_376202_10	ko:K04088
k141_376202_11	ko:K04087
k141_376202_12	ko:K01939
k141_376202_14	ko:K09007
k141_376202_17	ko:K01006
k141_376202_20	ko:K02520
k141_376202_21	ko:K02916
k141_376202_22	ko:K02887
k141_376202_23	ko:K01889
k141_376202_24	ko:K01890
k141_376202_25	ko:K04764
k141_376202_27	ko:K00114
k141_376202_28	ko:K15878
k141_376202_29	ko:K00600
k141_376202_30	ko:K03702
k141_376205_1	ko:K03702
k141_562083_2	ko:K04485
k141_562126_1	ko:K00677
k141_562126_2	ko:K02372
k141_562126_3	ko:K02536
k141_1117444_1	ko:K07544,ko:K07749
k141_1117444_2	ko:K01265
k141_1117461_2	ko:K03794
k141_1117461_3	ko:K01772
k141_1117461_5	ko:K02448
k141_1117461_6	ko:K02448
k141_562296_1	ko:K05837
k141_562296_2	ko:K03642
k141_562296_3	ko:K00641
k141_191641_1	ko:K00164
k141_747726_1	ko:K00135
k141_747726_2	ko:K01156
k141_747726_3	ko:K07316
k141_747726_5	ko:K07090
k141_747726_6	ko:K01450,ko:K01462
k141_562457_2	ko:K04066
k141_562457_3	ko:K01465
k141_747816_1	ko:K03503
k141_747816_2	ko:K03502
k141_4856_1	ko:K01265
k141_4856_2	ko:K00990
k141_4856_3	ko:K14261,ko:K14267
k141_4856_4	ko:K01439
k141_4856_6	ko:K02452
k141_4856_7	ko:K02453
k141_4856_8	ko:K15984
k141_4856_9	ko:K14742
k141_4856_10	ko:K03750
k141_562476_1	ko:K02108
k141_562476_2	ko:K02116
k141_562476_3	ko:K01665
k141_562476_4	ko:K00826,ko:K02619
k141_562476_6	ko:K00278
k141_4872_1	ko:K00244,ko:K13796
k141_4897_1	ko:K01876
k141_932550_1	ko:K17103
k141_932550_2	ko:K01613
k141_562546_1	ko:K00666
k141_747988_2	ko:K01872
k141_747988_3	ko:K00928
k141_747991_1	ko:K03570
k141_747991_2	ko:K03569
k141_932656_3	ko:K00954
k141_1117740_1	ko:K10413
k141_1117740_2	ko:K10413
k141_1117740_3	ko:K10413
k141_1117740_4	ko:K10413
k141_562677_1	ko:K13292
k141_562677_2	ko:K06888
k141_191919_2	ko:K03548
k141_191919_3	ko:K01408
k141_562712_1	ko:K00342
k141_562712_2	ko:K00343
k141_562726_2	ko:K09015
k141_562726_3	ko:K09013
k141_1117823_1	ko:K01998
k141_1117823_2	ko:K01997
k141_932823_1	ko:K03732
k141_932823_2	ko:K03671
k141_5247_1	ko:K03977
k141_562829_1	ko:K00891
k141_562829_2	ko:K03325
k141_562837_1	ko:K18532
k141_562837_2	ko:K06942
k141_932927_1	ko:K02314
k141_932927_2	ko:K02939
k141_932927_4	ko:K02963
k141_932927_5	ko:K02990
k141_377005_1	ko:K20035
k141_1118029_1	ko:K04105
k141_1118029_2	ko:K01996
k141_377081_1	ko:K01907
k141_377081_2	ko:K04755
k141_933082_1	ko:K00942
k141_933082_2	ko:K03060
k141_1118126_2	ko:K14520
k141_748606_1	ko:K01505,ko:K05396
k141_748606_3	ko:K00766
k141_562946_2	ko:K17323
k141_933127_4	ko:K08309
k141_933127_5	ko:K00974
k141_933127_7	ko:K01609
k141_933127_8	ko:K00766
k141_933127_9	ko:K01658,ko:K01664
k141_933127_10	ko:K01657
k141_933127_11	ko:K01783
k141_933127_13	ko:K01628
k141_933127_14	ko:K06942
k141_933127_15	ko:K01056
k141_933127_16	ko:K02897
k141_933127_17	ko:K00948
k141_933127_18	ko:K00919
k141_933127_21	ko:K02492
k141_933127_22	ko:K02835
k141_933127_23	ko:K02493
k141_933127_25	ko:K21029
k141_933127_27	ko:K08973
k141_933127_28	ko:K00941
k141_933127_29	ko:K00788
k141_933127_30	ko:K01845
k141_933127_32	ko:K02553
k141_933127_33	ko:K04042
k141_933127_34	ko:K02114
k141_933127_35	ko:K02112
k141_933127_36	ko:K02115
k141_933127_37	ko:K02111
k141_933127_38	ko:K02113
k141_933127_39	ko:K02109
k141_933127_40	ko:K02110
k141_933127_41	ko:K02108
k141_933127_42	ko:K02116
k141_933127_46	ko:K07448
k141_933127_47	ko:K00558
k141_192233_4	ko:K01092,ko:K05602
k141_192233_5	ko:K02039
k141_192233_6	ko:K02036
k141_192233_7	ko:K02038
k141_192233_8	ko:K02037,ko:K02038
k141_192233_9	ko:K02040
k141_192233_10	ko:K02484,ko:K07636,ko:K07768
k141_192233_11	ko:K07658,ko:K07668
k141_192233_14	ko:K18912
k141_192233_17	ko:K07071
k141_192233_18	ko:K11065
k141_192233_21	ko:K03101
k141_192233_22	ko:K01870
k141_192233_23	ko:K03517
k141_192233_24	ko:K03654
k141_192233_26	ko:K03147
k141_192233_27	ko:K03146
k141_192233_32	ko:K00605,ko:K06980,ko:K22086
k141_192233_38	ko:K06133
k141_192233_41	ko:K03529
k141_562982_1	ko:K04773
k141_562982_2	ko:K12452
k141_1118237_1	ko:K00666,ko:K02182
k141_748731_1	ko:K01924
k141_748731_2	ko:K02563
k141_748731_3	ko:K03588
k141_748731_4	ko:K01925
k141_748731_5	ko:K01925
k141_192308_1	ko:K04087
k141_192308_2	ko:K04088
k141_748850_2	ko:K07005
k141_748850_3	ko:K02503
k141_748850_4	ko:K07005,ko:K07006
k141_748850_6	ko:K22445
k141_748898_1	ko:K02016,ko:K06858
k141_748898_2	ko:K02013
k141_563109_2	ko:K01749
k141_749001_1	ko:K04079
k141_563217_2	ko:K01845
k141_1118411_1	ko:K13194
k141_749077_2	ko:K19696
k141_749124_2	ko:K00721
k141_749124_4	ko:K03075
k141_749124_5	ko:K01803
k141_1118477_1	ko:K15736
k141_192652_4	ko:K01866
k141_192652_5	ko:K05934
k141_192652_7	ko:K00928
k141_192652_8	ko:K04802
k141_192652_9	ko:K03057
k141_192652_10	ko:K03056
k141_192652_14	ko:K14165
