#query	KEGG_ko
k141_4776_12	K02052
k141_4776_13	K02055
k141_4776_14	K02054
k141_4776_15	K02053
k141_191646_4	K01724
k141_191646_6	K09014
k141_191646_7	K09013
k141_191646_8	K09015
k141_191646_9	K01766,K11717
k141_191646_10	K05997,K13628
k141_191646_12	K02426
k141_191646_13	K01866
k141_191646_17	K14058
k141_191646_18	K02014
k141_191646_23	K14393
k141_191646_32	K01438
k141_191646_33	K02020
k141_191646_34	K02018
k141_191646_38	K02523
k141_932654_2	K01495
k141_191850_1	K01153
k141_748209_1	K09929
k141_748209_2	K09930
k141_748209_3	K15977
k141_748209_4	K03640
k141_748209_6	K21071
k141_748209_8	K00939
k141_932981_2	K02014,K07273,K22268
k141_932981_3	K03292
k141_5403_1	K07588
k141_5403_4	K02169,K15256
k141_562882_50	K07003
k141_562882_54	K02016
k141_749111_2	K03522
k141_933492_2	K11211
k141_749329_3	K00121
k141_749364_1	K02314
k141_749364_2	K02939
k141_749364_4	K02963
k141_192800_52	K12262
k141_192800_53	K00571
k141_749439_3	K03644
k141_749439_5	K07400
k141_378127_2	K03111
k141_934088_1	K02004
k141_934088_3	K02003
k141_934219_5	K18911
k141_934219_6	K07657
k141_749926_3	K01433
k141_749926_4	K00823,K15372
k141_378551_2	K01520
k141_750788_1	K03980
k141_934987_1	K00303
k141_934987_7	K21826
k141_564728_1	K18979
k141_564770_2	K14063
k141_564770_4	K00059
k141_564770_8	K15229
k141_564770_11	K15228
k141_564773_2	K01520
k141_1120198_2	K15866
k141_1120198_3	K02614
k141_1120198_4	K02609
k141_1120198_5	K02610
k141_1120198_6	K02611
k141_1120198_7	K02612
k141_1120198_8	K02613
k141_1120198_9	K00995,K08744
k141_1120198_10	K03924
k141_1120198_13	K07114
k141_1120198_14	K07114
k141_379379_1	K07318
k141_379379_3	K06916
k141_565202_2	K00537
k141_751626_2	K01469,K01473
k141_935806_2	K09823
k141_935806_4	K09816
k141_7836_1	K01647
k141_7836_2	K03753
k141_565674_2	K06001
k141_752125_15	K03522
k141_752125_29	K00248,K00249
k141_936109_1	K03072
k141_936208_1	K00014
k141_936208_2	K07566
k141_936208_3	K00982
k141_936208_8	K00248,K00249
k141_936208_9	K01807
k141_936208_11	K01141
k141_936208_12	K05847
k141_936208_13	K05845,K05846
k141_936208_18	K08299
k141_8243_2	K03168
k141_8243_3	K02302,K02303,K02304
k141_936320_4	K07050
k141_752754_1	K03644
k141_936712_3	K00571,K00590
k141_936712_7	K07337,K21008
k141_195680_2	K00031
k141_753245_2	K00140
k141_753245_4	K00406
k141_753245_5	K00405
k141_753245_6	K00404
k141_195935_1	K10773
k141_195951_2	K01153
k141_567102_10	K00895
k141_937236_27	K03676
k141_567455_2	K02836
k141_9480_1	K06916
k141_9480_2	K00024
k141_9480_5	K00240,K09159
k141_9480_6	K00240
k141_9480_7	K00239
k141_9480_8	K00242
k141_9480_10	K06980
k141_9480_12	K07478
k141_9480_13	K03634
k141_9480_14	K03466
k141_9480_15	K00384
k141_9480_16	K05820
k141_9480_17	K01736
k141_567639_1	K01139
k141_567745_1	K01183
k141_567745_4	K00344
k141_567745_5	K03611
k141_567745_6	K01698
k141_1122495_1	K02027
k141_567897_5	K08305
k141_1122614_1	K07497
k141_1122614_4	K01089,K01693
k141_1122614_5	K01814
k141_1122614_6	K03797
k141_1122614_8	K15633
k141_1122614_11	K01011
k141_754112_1	K00605
k141_196850_1	K03722
k141_9848_4	K03694
k141_9848_5	K06891
k141_9848_6	K00031
k141_9848_8	K07012
k141_9863_2	K07481
k141_9863_4	K00526
k141_9863_5	K07560
k141_9863_6	K01915
k141_9863_7	K07447
k141_9863_8	K03596
k141_9863_9	K00571
k141_9863_12	K01754
k141_9863_14	K01783
k141_9863_15	K01091
k141_9863_16	K01657
k141_9863_17	K01658
k141_9863_18	K00766
k141_9863_19	K01609
k141_196982_2	K03100
k141_196982_3	K03685
k141_754457_1	K07277
k141_754457_2	K04069
k141_382386_1	K04087
k141_382386_2	K04088
k141_1123107_6	K06960
k141_1123107_15	K00021
k141_754761_4	K14059
k141_938701_6	K21948
k141_382671_1	K04561
k141_938771_2	K02836
k141_382926_9	K01012
k141_382926_14	K01649
k141_10728_4	K00548
k141_10745_2	K02469
k141_10745_6	K01990,K06861
k141_10745_7	K05808
k141_755492_1	K00548
k141_10993_2	K02111
k141_197960_2	K02464,K02654
k141_197960_3	K02653
k141_197960_4	K02652
k141_197960_5	K02650
k141_197960_7	K00974
k141_197960_8	K01525
k141_939308_2	K03655
k141_939308_3	K01154
k141_11148_1	K01951
k141_1124165_6	K01218
k141_1124165_7	K02025,K02027,K15771
k141_1124165_8	K02026
k141_383547_1	K03438
k141_756269_3	K00057
k141_756307_1	K00820
k141_756334_2	K01512
k141_1124244_11	K00600
k141_1124244_12	K18911
k141_1124244_14	K00114,K17760
k141_1124244_15	K01426,K02433
k141_1124244_16	K03106
k141_1124244_21	K01703
k141_1124244_22	K04761
k141_1124244_27	K03101
k141_1124244_28	K11753
k141_1124244_29	K03980
k141_1124244_32	K00931
k141_1124244_33	K03979
k141_1124244_34	K02899
k141_1124244_35	K02888
k141_570151_3	K02902
k141_570151_4	K02913
k141_570151_7	K03546
k141_1124402_1	K01990
k141_570276_5	K01733
k141_198624_3	K01907
k141_570371_1	K00384
k141_198978_1	K00208
k141_384325_2	K02192
k141_384325_3	K03594
k141_384325_4	K07390
k141_384325_6	K03650
k141_384325_7	K03217
k141_384325_8	K03616
k141_384325_9	K06186
k141_384325_10	K03631
k141_384325_11	K03705
k141_384325_12	K03687
k141_384325_13	K04043
k141_384325_14	K03686
k141_384325_15	K00215
k141_384325_16	K01897
k141_199183_1	K01783
k141_199183_2	K01657
k141_571001_4	K07741,K14623
k141_757385_2	K11206
k141_757385_3	K03568
k141_757385_4	K03592
k141_757840_2	K06985
k141_941502_2	K09862
k141_571845_3	K07240
k141_571845_5	K01647,K02078
k141_758407_1	K00459
k141_13473_1	K03980
k141_13473_2	K02116
k141_13473_4	K02108
k141_13473_5	K02110
k141_13473_7	K02113
k141_386218_9	K02919
k141_386218_11	K01990
k141_572747_2	K00558
k141_572895_1	K01783
k141_572978_2	K01154,K03427
k141_759668_1	K00560
k141_759790_4	K03625
k141_943566_2	K01113
k141_573603_1	K01190,K12308
k141_1127589_2	K00031
k141_1127589_4	K03794
k141_1127589_5	K09790
k141_573762_2	K01153
k141_387376_1	K12256
k141_573968_3	K07053,K18491
k141_573968_4	K03655
k141_574015_17	K03292
k141_760624_1	K02302
k141_760624_2	K07126
k141_760624_3	K03074
k141_760624_4	K03072
k141_760624_5	K03210
k141_760715_2	K07488
k141_760928_1	K02945
k141_387835_1	K00568
k141_387835_2	K12960
k141_760978_3	K02836
k141_944343_1	K01923
k141_15962_1	K07119
k141_15962_9	K00627
k141_202418_2	K03474
k141_202418_11	K03088
k141_202418_12	K01809
k141_202418_13	K01952
k141_944550_2	K03564
k141_944550_6	K02967
k141_944550_7	K02357
k141_944550_8	K09903
k141_944550_9	K02838
k141_944550_10	K00806
k141_944550_11	K00981
k141_761549_1	K20276
k141_761549_2	K02563
k141_761549_3	K01924
k141_575050_8	K00128,K06447
k141_761806_1	K03427
k141_1128972_2	K02316
k141_1128972_3	K09117
k141_1128972_4	K02970
k141_1128972_6	K01474
k141_944894_1	K01679
k141_944894_2	K01756
k141_944894_5	K01992
k141_388883_3	K06168
k141_762036_2	K06187
k141_1129602_3	K02879
k141_17231_3	K03503
k141_389552_6	K03657
k141_389552_7	K03688
k141_203511_2	K01895
k141_17289_3	K01807
k141_946183_3	K01520
k141_946183_4	K13038
k141_576420_7	K01755
k141_1130044_2	K01874
k141_1130044_4	K12262
k141_1130044_6	K03427
k141_763221_2	K09969
k141_204181_1	K01462
k141_204181_4	K04096
k141_204181_5	K21071
k141_17968_1	K09823
k141_946759_1	K00681
k141_946759_2	K13288
k141_946759_3	K00208
k141_390557_1	K01392
k141_1130740_1	K01704
k141_1130740_2	K00052
k141_1130740_3	K00133
k141_947119_2	K00927
k141_947154_1	K06879
k141_764654_2	K09144
k141_391418_2	K00560
k141_764689_1	K15778
k141_947932_1	K06186
k141_947932_2	K03711
k141_947932_3	K03631
k141_947932_4	K00858
k141_392000_2	K11065
k141_392000_5	K18800
k141_392000_6	K03185
k141_392000_7	K01262
k141_392000_10	K09888
k141_1131776_2	K00666
k141_1131776_3	K02014
k141_578844_2	K00800
k141_578855_2	K00790
k141_765938_8	K02990
k141_765938_9	K02963
k141_765938_10	K02939
k141_765938_11	K02314
k141_765938_12	K01775
k141_765938_13	K04485
k141_765938_19	K01956
k141_765938_20	K01955
k141_765938_21	K03624
k141_765938_31	K02195
k141_765938_32	K02196
k141_765938_33	K02197
k141_765938_34	K02198
k141_765938_35	K02199
k141_765938_36	K02200
k141_766182_1	K00334
k141_766182_3	K00335
k141_206680_1	K01154,K03427
k141_392796_6	K03797
k141_392796_7	K03797
k141_392796_13	K03424
k141_392796_14	K07140
k141_392796_16	K03168
k141_392796_17	K01011
k141_392796_22	K09159
k141_392796_24	K00278
k141_392796_25	K04771
k141_392796_27	K03575
k141_392796_30	K18990
k141_392796_40	K11901
k141_392796_41	K11900
k141_392796_49	K01803
k141_392796_50	K03075
k141_392796_53	K04088
k141_392796_54	K04087
k141_392796_55	K02502
k141_392796_56	K01939
k141_392796_57	K09791
k141_392796_58	K09007
k141_392796_59	K00031
k141_392796_61	K19572
k141_392796_62	K04487
k141_392796_63	K04763
k141_392796_64	K02884
k141_392796_65	K00554
k141_392796_66	K02860
k141_206809_4	K01703
k141_206809_5	K01704
k141_949430_1	K03563
k141_949430_2	K00762
k141_206892_1	K08963
k141_206940_3	K03673
k141_393236_1	K02622
k141_393630_2	K11991
k141_393630_5	K07053,K18491
k141_393630_6	K03655
k141_1133748_4	K00259
k141_1133748_6	K01972
k141_1133748_7	K03528
k141_1133748_9	K03529
k141_1133748_14	K02032
k141_1133748_15	K02031,K02032,K10823,K15583,K16202
k141_1133748_16	K02034,K15582,K16201
k141_1133748_17	K15581
k141_1133748_18	K15580
k141_1133748_23	K03568
k141_1133748_24	K09889
k141_1133748_25	K03592
k141_1133748_27	K14682
k141_1133748_28	K01687
k141_1133748_30	K00655
k141_1133748_31	K02470
k141_1133748_32	K03629
k141_1133913_5	K03386
k141_767930_4	K21948
k141_580411_2	K08282
k141_394558_1	K01915
k141_950812_2	K01756
k141_21771_21	K03646
k141_22164_2	K02113
k141_768867_1	K14645
k141_581322_1	K01146
k141_395980_1	K10553,K17203
k141_209763_2	K03177
k141_209763_3	K02834
k141_209763_4	K02519
k141_209763_5	K02600
k141_209763_6	K09748
k141_209763_8	K03625
k141_209763_9	K00794
k141_209763_11	K02335
k141_582268_5	K03503
k141_1136142_1	K01586
k141_1136142_2	K01778
k141_1136142_4	K03733
k141_1136142_5	K20862
k141_1136142_12	K00507
k141_953017_1	K00210,K00220,K04517
k141_953017_2	K00800
k141_210714_2	K01633
k141_23935_7	K01095
k141_23935_8	K03787
k141_23935_10	K02437
k141_583299_1	K03723
k141_583299_11	K03981
k141_210976_1	K03547
k141_398074_1	K01755
k141_398074_2	K10800
k141_1137356_1	K01256
k141_24560_1	K03614
k141_24560_2	K03612
k141_24560_4	K10773
k141_953886_2	K01952
k141_211367_1	K02469
k141_24635_2	K00311
k141_24635_3	K02528
k141_24635_5	K03640
k141_24635_6	K03641
k141_24635_7	K03551
k141_24635_8	K03550
k141_24635_9	K01159
k141_24635_11	K01876
k141_24635_14	K00930
k141_24635_15	K15778
k141_24635_16	K13038
k141_24635_17	K03630
k141_24635_19	K00265
k141_24654_7	K15987
k141_954053_3	K01613
k141_954053_5	K13288
k141_954053_7	K09001
k141_954053_8	K15724
k141_954287_2	K03210
k141_584346_1	K19221
k141_212078_2	K07235
k141_212078_3	K07236
k141_212078_4	K07237
k141_772311_4	K01156
k141_954781_5	K03799
k141_954781_9	K03673
k141_954781_10	K05516
k141_954781_11	K01496
k141_954781_12	K01465
k141_954781_16	K00943
k141_954781_17	K07082
k141_954781_20	K02078
k141_954781_21	K00059
k141_954781_22	K00645
k141_954781_23	K02911
k141_954781_25	K07689
k141_954781_27	K01142
k141_954781_38	K07403
k141_954781_39	K01338
k141_954781_41	K01497
k141_954781_45	K16423
k141_954781_49	K03602
k141_954781_53	K02956
k141_954781_54	K00962
k141_399736_2	K03555
k141_399736_3	K05524
k141_399736_5	K01968
k141_399736_7	K01092,K05602
k141_1138689_3	K02232
k141_25607_3	K00123
k141_212769_3	K01972
k141_1139002_2	K02000
k141_26199_1	K01153
k141_955622_1	K02569
k141_955632_1	K02569
k141_955632_3	K17229
k141_400642_2	K07133
k141_400657_8	K01626
k141_400657_9	K20881
k141_400657_10	K03732
k141_400657_15	K06147,K11085
k141_773711_2	K01156
k141_773760_2	K02274
k141_773859_3	K08282
k141_401396_2	K09791
k141_27107_2	K03701
k141_27241_1	K00351
k141_214111_2	K03629
k141_214111_4	K02313
k141_214111_6	K03217
k141_214111_7	K03650
k141_214111_9	K09144
k141_774823_2	K04084
k141_402247_6	K03427
k141_1141435_2	K08282
k141_402440_9	K02456
k141_402440_10	K02455
k141_402440_11	K02454
k141_402440_12	K02451
k141_1141696_5	K01992
k141_1141696_6	K01990
k141_1141696_7	K05539
k141_1141696_11	K16291
k141_1141696_13	K02341
k141_1141696_14	K00943
k141_775609_2	K13821
k141_775609_3	K06925
k141_775609_5	K03572
k141_775609_6	K00791
k141_775609_8	K03665
k141_775609_10	K02336
k141_775609_11	K06204
k141_775609_12	K01894
k141_775609_13	K00970
k141_775609_14	K01895
k141_775609_15	K01008
k141_775609_21	K04691,K04771,K04772
k141_775609_23	K04755
k141_402943_3	K00590
k141_402943_10	K00024
k141_215399_1	K02358
k141_588186_2	K07318
k141_588261_5	K01638
k141_1142648_2	K06147,K06148
k141_215897_1	K00989
k141_215897_3	K01424
k141_215897_4	K13993
k141_215897_5	K04771,K04772
k141_215897_6	K03636
k141_215902_1	K03636
k141_215902_2	K04771,K04772
k141_958662_8	K10773
k141_776318_3	K04066
k141_776318_4	K01523
k141_776318_5	K01419
k141_776318_6	K03667
k141_776318_8	K03183
k141_776318_10	K03688
k141_776541_1	K01796
k141_958867_2	K04069
k141_216553_1	K03519,K16878
k141_589265_5	K06973
k141_589265_15	K00411
k141_589308_1	K03473
k141_589308_3	K03732
k141_1143573_3	K00850,K21071
k141_1143575_2	K09955
k141_959183_1	K01153
k141_1143777_2	K01155
k141_1143777_3	K00641
k141_589686_2	K06204
k141_589827_1	K04487
k141_30495_3	K10800
k141_590034_8	K02031,K02032,K13892,K13896
k141_405018_1	K01183
k141_405018_2	K03801
k141_405018_3	K07258
k141_405018_4	K07258
k141_405018_6	K08305
k141_405018_7	K09710
k141_405018_8	K00969
k141_405018_9	K00147
k141_405018_10	K19302
k141_405018_14	K00948
k141_405018_15	K02897
k141_405018_16	K01056
k141_405018_17	K06942
k141_405018_19	K12373
k141_405018_29	K00571
k141_405018_35	K06189
k141_405018_36	K03820
k141_405018_37	K01869
k141_405018_41	K00104
k141_405018_42	K02427
k141_405018_43	K03978
k141_405018_46	K03695
k141_959959_1	K03716
k141_777534_1	K20276
k141_777534_4	K03312
k141_777534_24	K00795,K02523,K13789
k141_960012_10	K01153
k141_217653_1	K00760
k141_217653_2	K19696
k141_217665_2	K19354
k141_777863_1	K00824
k141_777863_2	K07258
k141_777863_3	K03642
k141_777863_4	K08305
k141_777863_5	K05837
k141_591051_4	K03561
k141_591051_5	K03559
k141_591051_6	K11085
k141_591051_7	K00979
k141_591051_8	K01647
k141_591051_9	K02669
k141_591051_10	K06997
k141_591051_11	K00286
k141_591051_12	K02221
k141_591051_13	K00641
k141_591051_16	K02428
k141_591051_19	K03439
k141_591051_20	K03089
k141_591051_22	K16299
k141_591051_23	K16300
k141_591051_26	K01571
k141_591051_27	K01572
k141_591484_1	K05568
k141_32349_1	K15746
k141_779167_3	K02437
k141_779167_4	K00282
k141_779167_5	K00281,K00283
k141_779198_2	K06024
k141_779198_3	K05896
k141_779198_4	K01867
k141_407250_1	K00604
k141_779841_1	K01153
k141_33774_2	K04567
k141_33774_11	K00013,K15509
k141_33774_12	K00817
k141_780692_5	K01153
k141_1148059_3	K03521
k141_221438_1	K01469
k141_963929_3	K07042
k141_963929_4	K06217
k141_963929_5	K06168
k141_963929_8	K02237
k141_963929_11	K05788
k141_963929_12	K02945
k141_963929_13	K00945
k141_963929_14	K00210,K00220,K00800
k141_963929_15	K00817
k141_963929_16	K14170
k141_963929_17	K00831
k141_963929_18	K02469
k141_963929_23	K03969
k141_963929_25	K03970
k141_963929_26	K03969
k141_963929_27	K03974
k141_963929_29	K09989
k141_963929_30	K00748
k141_963929_31	K00677
k141_963929_32	K02372
k141_963929_33	K02536
k141_963929_36	K07277
k141_221844_1	K01772
k141_1149013_1	K03314
k141_1149013_2	K03314
k141_1149061_1	K00600
k141_35565_1	K03307
k141_35565_7	K02014
k141_964464_1	K11928
k141_1149289_1	K01153
k141_965043_1	K07642
k141_965043_6	K01624
k141_965043_8	K00954
k141_1150039_7	K00058
k141_36392_1	K00571,K07319
k141_965211_2	K08300
k141_965211_4	K06223
k141_965211_6	K06179
k141_965211_7	K04773
k141_965211_8	K06287
k141_965211_9	K02911
k141_965211_10	K03621
k141_965211_11	K00648
k141_965211_12	K03703
k141_965211_13	K00995,K08744
k141_1150141_4	K01749
k141_783319_1	K01153
k141_411746_2	K03655
k141_965599_1	K02558
k141_412026_2	K01897
k141_783687_1	K03100
k141_412047_1	K03575
k141_223564_2	K03686
k141_965881_1	K01874
k141_37437_2	K07316
k141_37437_3	K02968
k141_37437_4	K00931
k141_37437_5	K03979
k141_37437_6	K02899
k141_37437_7	K02888
k141_412794_2	K07031
k141_223981_9	K01572
k141_224094_1	K03086
k141_596695_1	K05837
k141_966474_3	K00208
k141_413706_2	K16011
k141_967021_8	K00043
k141_1152233_1	K00303
k141_597351_2	K00031
k141_597351_3	K01704
k141_597351_4	K01703
k141_38612_1	K04773
k141_785223_1	K01156
k141_967494_9	K06879,K09457
k141_967494_12	K00891
k141_967494_15	K02671
k141_414356_5	K00202
k141_414356_6	K00672
k141_414356_7	K00200
k141_414356_9	K00203,K00336
k141_414356_10	K01590
k141_414356_11	K00003,K00058,K01754,K04517,K04767
k141_39232_1	K01595
k141_225722_2	K00983
k141_414566_3	K03639
k141_414566_5	K07497
k141_414643_3	K01156
k141_1153158_14	K17686
k141_967867_2	K01737
k141_968063_1	K07277
k141_598553_2	K01720
k141_598553_3	K01659
k141_598553_4	K03417
k141_598553_5	K01081
k141_598553_10	K03431
k141_598553_12	K00796
k141_598553_13	K03798
k141_598553_14	K01800,K01801
k141_598553_15	K00451
k141_598553_16	K16171
k141_598553_20	K03305
k141_598553_21	K01251
k141_598553_22	K15371
k141_968204_1	K00830,K00839
k141_786646_3	K00791
k141_39812_4	K01881
k141_39812_6	K09125
k141_786800_3	K11991
k141_1154778_3	K07031
k141_599890_1	K01284,K01392
k141_416615_2	K03630
k141_416625_1	K20862
k141_416625_3	K03733
k141_41193_2	K01843,K19810
k141_41193_3	K02356
k141_41193_4	K04568
k141_227825_3	K00134
k141_227825_6	K11159
k141_227825_10	K21420
k141_227825_11	K00684
k141_227825_12	K00384
k141_227825_13	K03466
k141_227825_14	K03634
k141_227825_15	K07478
k141_227825_16	K06199
k141_227825_17	K01875
k141_41309_2	K01740
k141_41309_4	K01873
k141_41309_5	K02339
k141_41309_6	K01255
k141_417079_1	K04567
k141_417079_3	K01875
k141_600564_1	K09476
k141_41520_1	K02011
k141_228287_1	K16092
k141_228287_2	K07315
k141_228287_4	K07488
k141_228287_7	K06997
k141_228287_8	K07488
k141_970379_1	K01153
k141_43087_3	K00978
k141_43326_1	K22104
k141_230288_6	K01975,K03743
k141_230288_7	K02358
k141_419334_1	K03596
k141_790709_1	K01089,K01693
k141_230319_4	K01817
k141_230319_5	K01696
k141_230319_6	K01695
k141_230319_7	K11754
k141_230319_9	K03558
k141_230319_10	K06938
k141_230319_16	K01652
k141_230319_17	K01653
k141_230319_18	K00053
k141_230319_19	K17103
k141_230319_20	K07147
k141_230319_21	K17247
k141_1158288_1	K02335
k141_44677_1	K01153
k141_604433_2	K00526
k141_420812_2	K00344
k141_420812_3	K01589
k141_420812_4	K01588
k141_420812_5	K01923
k141_420812_6	K01935
k141_420812_7	K03320
k141_420812_8	K04752
k141_420812_10	K01494
k141_420812_11	K03593
k141_420812_12	K01874
k141_420812_13	K03616
k141_420812_14	K10773
k141_45122_14	K02358
k141_45122_15	K03073
k141_45122_16	K02601
k141_45122_17	K02867
k141_45122_18	K02863
k141_45122_19	K02864
k141_45122_20	K02935
k141_45122_21	K03043
k141_45122_22	K03046
k141_45122_24	K02500
k141_45122_26	K01772
k141_45122_30	K06888
k141_45122_33	K03703
k141_45122_34	K03711
k141_45122_36	K01256
k141_45122_37	K02441
k141_45122_39	K07141
k141_45122_40	K18290
k141_45122_41	K02342,K14159
k141_45122_42	K03469
k141_421227_13	K03150
k141_421227_15	K04759
k141_1159344_1	K01996
k141_45370_1	K00394
k141_421314_2	K15866
k141_421314_3	K03593
k141_421314_4	K01494
k141_421314_7	K08744
k141_421314_8	K10763
k141_421314_15	K08300
k141_421314_16	K08300
k141_421314_17	K06179
k141_421314_18	K00058
k141_421314_21	K02909
k141_421314_23	K05366
k141_421314_24	K02662
k141_421314_27	K02665
k141_421314_28	K02507,K02666
k141_421314_29	K00891
k141_421314_30	K01735
k141_421333_1	K19221
k141_421377_1	K08282
k141_421524_1	K02527
k141_421524_3	K00253
k141_421524_4	K01872
k141_232198_5	K00573
k141_232198_7	K01689
k141_232198_8	K01627
k141_232198_9	K01937
k141_232198_11	K04075
k141_232198_12	K02337
k141_232198_16	K02558
k141_232198_19	K03320,K21021
k141_232198_21	K00525
k141_232198_25	K03118
k141_232198_26	K03117
k141_232198_27	K03116,K03425
k141_421746_1	K01610
k141_46007_3	K01657
k141_46007_4	K01658,K01664
k141_46007_5	K00766
k141_46007_6	K01609
k141_46007_7	K07397
k141_46007_9	K03517
k141_46222_1	K07478
k141_1160377_2	K00567
k141_1160377_4	K04763
k141_1160596_1	K02358
k141_974399_1	K06888
k141_606748_1	K01874
k141_793971_3	K07497
k141_47387_1	K00088
k141_47387_3	K01951
k141_794603_1	K01951
k141_794603_2	K00088
k141_975216_2	K04084
k141_975216_3	K03786
k141_975216_4	K02160
k141_975216_5	K03664
k141_47681_6	K06985
k141_1161790_1	K01652
k141_795200_1	K00677
k141_795200_2	K02372
k141_795200_3	K02536
k141_795200_5	K07277
k141_795211_1	K03100
k141_795211_3	K03595
k141_795211_4	K03584
k141_795211_8	K00611,K09065,K13252
k141_795211_9	K00821
k141_795211_10	K11473
k141_795211_11	K11472
k141_795211_12	K00104
k141_795241_1	K13687
k141_975772_2	K10773
k141_1162619_2	K00973
k141_1162619_6	K00812
k141_235238_5	K02274
k141_235238_6	K07152
k141_235238_8	K13771
k141_235361_4	K02523
k141_235361_5	K02888
k141_424482_1	K01265
k141_424482_2	K00990
k141_424482_3	K00632
k141_424482_5	K07659
k141_424482_7	K03286
k141_424482_10	K01885
k141_424482_16	K03179
k141_424482_17	K17758,K17759
k141_424482_18	K18979
k141_424482_19	K01436
k141_48752_1	K03801
k141_1163295_1	K14580
k141_1163295_2	K03268,K05708,K08689,K14579,K14748
k141_976749_1	K07277
k141_976749_3	K02536
k141_976749_4	K02372
k141_236479_1	K06178
k141_236479_4	K03722
k141_236479_6	K03470
k141_236698_3	K00411
k141_236698_4	K00412
k141_236698_5	K00413
k141_236698_6	K03599
k141_236698_7	K03777
k141_236698_8	K03271
k141_977633_1	K03704
k141_977633_2	K00031
k141_977732_1	K09476
k141_237243_2	K03602
k141_237243_6	K02379
k141_237243_7	K07003
k141_237243_10	K02959
k141_237243_11	K02860
k141_237243_12	K03321
k141_237243_14	K03273
k141_237243_15	K01879
k141_237243_16	K01878
k141_50463_7	K07488
