#query	KEGG_ko
k141_436658_8	ko:K13953
k141_297041_33	ko:K09903
k141_297041_34	ko:K06885
k141_297041_35	ko:K00943
k141_6117_4	ko:K07463
k141_6117_5	ko:K15977,ko:K16937
k141_6117_8	ko:K07006
k141_6117_17	ko:K01956
k141_6117_18	ko:K01955
k141_153711_7	ko:K06877
k141_371459_3	ko:K03709
k141_371459_4	ko:K07451,ko:K07452
k141_443337_6	ko:K03466,ko:K07464,ko:K15342,ko:K19465
k141_225800_5	ko:K01174
k141_297861_4	ko:K03413
k141_297861_5	ko:K03413
k141_297861_6	ko:K03413
k141_297861_8	ko:K01887
k141_7270_2	ko:K03053
k141_7270_3	ko:K13798
k141_7270_4	ko:K03041
k141_226189_4	ko:K00088
k141_7341_2	ko:K03540
k141_7341_3	ko:K14568
k141_7341_5	ko:K00525
k141_7341_6	ko:K21636
k141_7341_8	ko:K07068
k141_7341_9	ko:K00626
k141_7341_11	ko:K11206
k141_154506_3	ko:K05606
k141_154506_6	ko:K01006
k141_154506_7	ko:K01803
k141_154506_8	ko:K15383
k141_154506_9	ko:K02319
k141_154506_10	ko:K01493
k141_154506_11	ko:K03703,ko:K10896
k141_154506_13	ko:K07533
k141_154506_16	ko:K03413,ko:K07662,ko:K07667
k141_154506_17	ko:K07005
k141_372642_2	ko:K07497
k141_372642_5	ko:K00412
k141_372642_6	ko:K00411
k141_372642_8	ko:K01433
k141_372642_9	ko:K01470
k141_372642_10	ko:K04796
k141_372642_12	ko:K01807
k141_372642_14	ko:K01464
k141_372642_17	ko:K03671
k141_372642_19	ko:K13280
k141_372642_20	ko:K14534
k141_372642_21	ko:K18593
k141_372642_22	ko:K03469
k141_372645_5	ko:K01011
k141_372645_6	ko:K00392
k141_372645_7	ko:K03146
k141_155054_3	ko:K06915
k141_155054_4	ko:K03547
k141_155054_14	ko:K07725
k141_155123_2	ko:K07588
k141_155123_3	ko:K01848
k141_298761_5	ko:K05592
k141_298761_6	ko:K21990
k141_298761_12	ko:K07454
k141_82075_10	ko:K02869
k141_82291_3	ko:K07484
k141_82291_5	ko:K02217
k141_82291_10	ko:K07006
k141_82291_13	ko:K04566
k141_82291_14	ko:K07739
k141_82291_18	ko:K01933
k141_82291_19	ko:K06869
k141_82291_21	ko:K07301
k141_82291_22	ko:K03592
k141_82291_23	ko:K11781
k141_82291_24	ko:K11780
k141_82291_29	ko:K06878
k141_82291_30	ko:K03120
k141_82291_33	ko:K01265
k141_82291_36	ko:K09140
k141_82291_37	ko:K02035
k141_82291_39	ko:K08979
k141_155824_1	ko:K01687
k141_300239_6	ko:K04518
k141_300239_7	ko:K07573
k141_300239_10	ko:K07561
k141_300981_9	ko:K01174
k141_300981_15	ko:K21929
k141_300981_23	ko:K00001
k141_300981_24	ko:K00571
k141_300981_27	ko:K07498
k141_300981_30	ko:K06996
k141_301262_3	ko:K01641
k141_301262_7	ko:K01935
k141_301262_11	ko:K00833
k141_229919_4	ko:K04763
k141_229919_6	ko:K03120
k141_229919_8	ko:K17218
k141_229919_10	ko:K07176
k141_229919_11	ko:K07558
k141_229919_12	ko:K01975
k141_229919_14	ko:K09736
k141_229919_17	ko:K12410
k141_229919_18	ko:K00784
k141_229919_19	ko:K07446
k141_229919_20	ko:K00948
k141_229919_21	ko:K05802
k141_229919_23	ko:K01915
k141_229919_26	ko:K04751
k141_229919_29	ko:K04751
k141_229919_30	ko:K03320
k141_229919_36	ko:K11717
k141_229919_39	ko:K14165
k141_229919_44	ko:K04096
k141_447824_4	ko:K04564
k141_447824_9	ko:K06953
k141_447824_13	ko:K02122
k141_447824_14	ko:K00008
k141_447824_15	ko:K08321
k141_159275_4	ko:K06888
k141_377064_2	ko:K00528
k141_377064_4	ko:K02492
k141_377064_5	ko:K03646
k141_302809_1	ko:K14941
k141_302809_2	ko:K11212
k141_302809_7	ko:K17830
k141_302809_9	ko:K00059
k141_302809_10	ko:K00020
k141_302809_17	ko:K04479
k141_377287_3	ko:K03284
k141_377287_5	ko:K00616
k141_377287_6	ko:K00615
k141_377287_7	ko:K00615
k141_377287_8	ko:K06940
k141_377287_10	ko:K01255
k141_377287_13	ko:K06174
k141_377287_14	ko:K15429
k141_377287_16	ko:K03789
k141_87036_2	ko:K03056
k141_87036_3	ko:K03057
k141_87036_4	ko:K04802
k141_87036_5	ko:K00928
k141_87036_7	ko:K05934
k141_87036_8	ko:K01866
k141_87036_13	ko:K00577
k141_87036_20	ko:K03768
k141_87036_24	ko:K04719
k141_87036_27	ko:K01974
k141_87036_28	ko:K00952
k141_87036_30	ko:K01802
k141_87036_31	ko:K00096
k141_377804_1	ko:K03564
k141_377804_2	ko:K18605
k141_377804_3	ko:K18603
k141_377804_4	ko:K18604
k141_377804_6	ko:K04800
k141_377804_8	ko:K01092
k141_233796_2	ko:K07494
k141_233796_3	ko:K04763
k141_452385_1	ko:K07316
k141_452385_2	ko:K01156
k141_452385_4	ko:K04043
k141_234043_7	ko:K03686
k141_234043_8	ko:K01012
k141_234043_9	ko:K00639
k141_234043_11	ko:K06196
k141_305383_2	ko:K01657
k141_305383_3	ko:K01658
k141_305383_4	ko:K00766
k141_305383_5	ko:K01609
k141_305383_6	ko:K01696
k141_305383_7	ko:K01695
k141_305383_9	ko:K01937
k141_305383_10	ko:K00858
k141_15183_3	ko:K08482
k141_15183_4	ko:K08482
k141_15183_9	ko:K07023
k141_15183_10	ko:K00798
k141_15183_15	ko:K01759
k141_15183_18	ko:K01768
k141_15183_20	ko:K01754
k141_15183_21	ko:K01588
k141_15183_22	ko:K01589
k141_15183_29	ko:K00626
k141_15183_30	ko:K07068
k141_15183_37	ko:K01733
k141_15183_39	ko:K00150
k141_306229_4	ko:K01759
k141_306229_5	ko:K00052
k141_306229_6	ko:K01649
k141_306229_7	ko:K01653
k141_306229_8	ko:K01652
k141_381857_3	ko:K07497
k141_381857_4	ko:K03497
k141_381857_6	ko:K03183
k141_381857_8	ko:K00826
k141_91675_3	ko:K01845
k141_91675_6	ko:K01784
k141_91675_7	ko:K15916
k141_91675_8	ko:K08963
k141_91675_10	ko:K00059
k141_454946_6	ko:K02503
k141_454946_7	ko:K03265
k141_93077_6	ko:K03498
k141_93077_7	ko:K08999
k141_93077_17	ko:K03124
k141_93077_18	ko:K16955,ko:K22491
k141_93077_19	ko:K01710
k141_93077_20	ko:K01710
k141_93077_21	ko:K01710
k141_93077_24	ko:K06863
k141_93077_28	ko:K03186
k141_93077_30	ko:K03116
k141_93077_31	ko:K03118
k141_93077_34	ko:K01952
k141_93077_36	ko:K01952
k141_93077_37	ko:K01952
k141_93077_38	ko:K00764
k141_166888_2	ko:K03263
k141_166888_3	ko:K06927
k141_166888_4	ko:K03106
k141_166888_5	ko:K07583
k141_309837_2	ko:K02881
k141_309837_3	ko:K02988
k141_309837_4	ko:K02907
k141_309837_5	ko:K02876
k141_309837_6	ko:K03076
k141_309837_7	ko:K00939
k141_309837_9	ko:K00945
k141_309837_10	ko:K11131
k141_309846_12	ko:K05967
k141_309846_13	ko:K03686
k141_167754_1	ko:K09759
k141_167754_2	ko:K02435
k141_167754_3	ko:K02433
k141_167754_4	ko:K02434
k141_167754_6	ko:K01895
k141_167754_7	ko:K00812
k141_167841_2	ko:K00796
k141_167841_3	ko:K07142
k141_167841_5	ko:K01951
k141_386223_6	ko:K03686
k141_386223_11	ko:K18285
k141_386223_15	ko:K11785
k141_386223_16	ko:K03234
k141_95496_7	ko:K01647
k141_95496_12	ko:K03703
k141_95496_13	ko:K03701
k141_95496_14	ko:K03702
k141_95496_16	ko:K07005
k141_95496_21	ko:K14728
k141_95496_22	ko:K18602
k141_95496_23	ko:K11529
k141_95518_2	ko:K00558
k141_169098_5	ko:K03124
k141_96470_15	ko:K01681
k141_96470_17	ko:K06215
k141_96470_18	ko:K08681
k141_96470_21	ko:K01873
k141_96470_22	ko:K01737
k141_96470_23	ko:K01724
k141_96470_24	ko:K01953
k141_96470_25	ko:K01756
k141_96470_29	ko:K14415
k141_96470_32	ko:K02948
k141_96470_34	ko:K00946
k141_312075_1	ko:K01649
k141_312075_3	ko:K05830
k141_312075_4	ko:K05828
k141_312075_5	ko:K05829
k141_312075_6	ko:K05827
k141_312075_7	ko:K05826
k141_312075_8	ko:K01940
k141_312075_9	ko:K02051
k141_312075_10	ko:K02049
k141_312075_11	ko:K02050
k141_312075_12	ko:K08153
k141_312075_13	ko:K00548
k141_312075_14	ko:K00548
k141_312075_17	ko:K02910
k141_312075_18	ko:K03531
k141_312075_19	ko:K15865
k141_312075_20	ko:K01744
k141_170315_3	ko:K00759
k141_170315_4	ko:K00772
k141_170315_17	ko:K02485,ko:K02490,ko:K03413
k141_170315_18	ko:K07709
k141_170471_4	ko:K01776
k141_170471_5	ko:K05936
k141_170471_6	ko:K03394
k141_170471_7	ko:K02191
k141_313652_1	ko:K03186
k141_98648_2	ko:K05826
k141_98648_3	ko:K05827
k141_98648_4	ko:K05831
k141_98648_5	ko:K20215
k141_98648_6	ko:K00980,ko:K14656
k141_98648_7	ko:K07732
k141_98648_8	ko:K02316
k141_98648_9	ko:K13628
k141_98648_16	ko:K15019
k141_98648_17	ko:K18594
k141_313726_1	ko:K03704
k141_313726_2	ko:K03236
k141_313726_3	ko:K06940
k141_313726_7	ko:K03413
k141_313726_8	ko:K13953
k141_313726_9	ko:K05896
k141_313726_10	ko:K06024
k141_313726_11	ko:K02995
k141_313726_12	ko:K03105
k141_313726_13	ko:K07569
k141_313726_14	ko:K03124
k141_313726_15	ko:K09013
k141_99073_2	ko:K02033
k141_99073_3	ko:K02034
k141_99073_16	ko:K04799
k141_99277_2	ko:K03878,ko:K04257,ko:K05572,ko:K05579
k141_99277_3	ko:K02256
k141_99277_4	ko:K03880
k141_99277_5	ko:K00339
k141_99277_6	ko:K03881
k141_99277_7	ko:K02128
k141_99277_8	ko:K00412
k141_99277_9	ko:K02262
k141_99277_10	ko:K02126
k141_99277_12	ko:K02261
k141_99277_13	ko:K03882
k141_99277_15	ko:K03883
k141_99277_16	ko:K00343
k141_172153_2	ko:K03166
k141_172153_3	ko:K03167
k141_172153_4	ko:K06961
k141_172153_5	ko:K07178
k141_172153_6	ko:K09148
k141_172153_7	ko:K03238
k141_172153_9	ko:K13963,ko:K13966
k141_243927_2	ko:K03427
k141_99791_5	ko:K04763
k141_99791_6	ko:K01154
k141_24708_4	ko:K07086
k141_24708_5	ko:K03306
k141_24708_6	ko:K07220
k141_24708_9	ko:K01992
k141_24708_10	ko:K01990
k141_315410_3	ko:K01246
k141_315410_6	ko:K07488
k141_391191_5	ko:K15856
k141_391191_8	ko:K07031
k141_391191_9	ko:K03271
k141_391191_14	ko:K01710,ko:K02377
k141_391191_16	ko:K03207
k141_391191_17	ko:K01711
k141_25784_1	ko:K20952
k141_392115_1	ko:K07257
k141_392464_4	ko:K00571,ko:K00590
k141_392539_1	ko:K06176
k141_392539_2	ko:K18235
k141_392539_3	ko:K04794
k141_392539_4	ko:K03455
k141_392539_7	ko:K07488
k141_318069_9	ko:K03718
k141_318069_10	ko:K02867
k141_318069_11	ko:K02601
k141_318069_12	ko:K07342
k141_318069_13	ko:K09716
k141_318069_14	ko:K00567
k141_318069_15	ko:K02885
k141_318069_16	ko:K02912
k141_318069_17	ko:K01610
k141_318069_18	ko:K14647
k141_318069_19	ko:K04564
k141_318069_20	ko:K04797
k141_318069_21	ko:K03110
k141_393480_2	ko:K06188
k141_393480_3	ko:K03741
k141_393480_4	ko:K07755
k141_102887_1	ko:K01872
k141_102887_2	ko:K01869
k141_176066_4	ko:K04763
k141_176066_5	ko:K04763
k141_248829_1	ko:K01923
k141_248829_17	ko:K02933
k141_248829_18	ko:K02994
k141_248829_19	ko:K02954
k141_248829_20	ko:K02931
k141_248829_21	ko:K02987
k141_248829_22	ko:K02895
k141_248829_23	ko:K02874
k141_248829_24	ko:K02961
k141_248829_25	ko:K03538
k141_248829_26	ko:K02904
k141_248829_27	ko:K02982
k141_248829_28	ko:K02890
k141_248829_29	ko:K02965
k141_177753_1	ko:K03709
k141_321377_3	ko:K01880
k141_321377_4	ko:K01151
k141_321377_5	ko:K18882
k141_321377_6	ko:K02683
k141_321377_7	ko:K09118
k141_321377_8	ko:K01951
k141_321377_12	ko:K02991
k141_321377_13	ko:K03242
k141_321377_14	ko:K07158
k141_321377_15	ko:K06910
k141_321377_16	ko:K07151
k141_321377_17	ko:K11130
k141_321377_18	ko:K03237
k141_321377_19	ko:K19221
k141_321377_20	ko:K02224
k141_321377_21	ko:K06042
k141_321377_22	ko:K06042
k141_321377_23	ko:K02189
k141_321377_24	ko:K02188
k141_321377_25	ko:K00329,ko:K00356
k141_321377_26	ko:K00789
k141_321377_27	ko:K04796
k141_321377_28	ko:K04482,ko:K04483
k141_321377_29	ko:K03724
k141_321377_30	ko:K07466
k141_321377_31	ko:K01990
k141_321377_32	ko:K01992
k141_321377_34	ko:K09726
k141_321377_36	ko:K03687
k141_321377_37	ko:K04043
k141_30500_10	ko:K07497
k141_105745_8	ko:K02877
k141_105745_11	ko:K06072
k141_106472_4	ko:K02044
k141_106472_5	ko:K02041
k141_106472_6	ko:K02042
k141_106472_7	ko:K06863
k141_106472_10	ko:K07497
k141_322298_5	ko:K02201
k141_322298_9	ko:K01867
k141_322298_10	ko:K01889
k141_322298_11	ko:K01890
k141_181201_2	ko:K00330
k141_181201_3	ko:K00331
k141_181201_4	ko:K00332
k141_181201_5	ko:K00333
k141_181201_6	ko:K00337
k141_181201_7	ko:K00338
k141_181201_8	ko:K00339
k141_181201_9	ko:K00340
k141_181201_10	ko:K00342
k141_181201_11	ko:K00341
k141_181201_12	ko:K22169
k141_181201_13	ko:K02523
k141_181201_14	ko:K06137
k141_108474_7	ko:K01895
k141_108474_11	ko:K07305
k141_108474_12	ko:K00003
k141_108474_13	ko:K07575
k141_108474_14	ko:K03433
k141_108474_15	ko:K15977,ko:K16937
k141_108474_17	ko:K17758
k141_108474_18	ko:K07442
k141_108474_30	ko:K13277
k141_181885_3	ko:K02956
k141_181885_4	ko:K07463
k141_181885_6	ko:K01875
k141_181885_7	ko:K02984
k141_181885_8	ko:K07581
k141_181885_10	ko:K04748
k141_181885_12	ko:K01738
k141_181885_14	ko:K03120
k141_181885_19	ko:K04751
k141_181885_25	ko:K15449
k141_181885_26	ko:K02428
k141_181885_27	ko:K08851
k141_181885_29	ko:K01409
k141_181885_30	ko:K06942
k141_181885_31	ko:K18532
k141_181885_32	ko:K18779
k141_181885_35	ko:K07577
k141_181885_36	ko:K03660
k141_326451_2	ko:K01845
k141_326451_7	ko:K03413
k141_326451_8	ko:K03413
k141_326451_12	ko:K01485
k141_326451_14	ko:K02503
k141_326451_17	ko:K15016
k141_326599_8	ko:K12574
k141_326599_9	ko:K12234
k141_326599_11	ko:K12339
k141_326599_14	ko:K00384
k141_326599_15	ko:K03294
k141_326599_19	ko:K20989
k141_326599_20	ko:K07182
k141_326599_22	ko:K00024
k141_37682_1	ko:K15894
k141_37682_3	ko:K00604
k141_37682_4	ko:K00604
k141_112898_3	ko:K02548
k141_112898_7	ko:K01953
k141_112898_8	ko:K07108
k141_112898_9	ko:K03622
k141_112898_10	ko:K03014
k141_112898_11	ko:K09143
k141_112898_12	ko:K02975
k141_112898_14	ko:K00809
k141_112898_15	ko:K07862
k141_112898_16	ko:K07862
k141_112898_21	ko:K01868
k141_112898_22	ko:K01480
k141_112898_24	ko:K17884
k141_112898_25	ko:K02976
k141_38479_10	ko:K06988
k141_38479_11	ko:K15634
k141_38479_13	ko:K02275
k141_38479_14	ko:K02274
k141_38479_16	ko:K02259
k141_187223_9	ko:K00721
k141_187223_13	ko:K09128
k141_187223_14	ko:K09123
k141_187223_15	ko:K10773
k141_187223_17	ko:K00958
k141_187223_18	ko:K00390
k141_187223_23	ko:K07124
k141_187223_27	ko:K08728
k141_187223_28	ko:K04763
k141_187223_31	ko:K07027
k141_187223_34	ko:K06883
k141_187223_35	ko:K00872
k141_187223_36	ko:K06920
k141_187223_38	ko:K01495
k141_187223_39	ko:K10026
k141_187223_48	ko:K00059
k141_187223_50	ko:K01082,ko:K01092
k141_187223_51	ko:K00860,ko:K07028
k141_187223_53	ko:K11105
k141_187223_57	ko:K06199
k141_39048_2	ko:K01001
k141_39048_3	ko:K03726
k141_39048_4	ko:K10726
k141_39048_5	ko:K09723
k141_39048_6	ko:K04801
k141_39048_9	ko:K03264
k141_39048_10	ko:K01892
k141_39048_12	ko:K00951
k141_331008_3	ko:K06940
k141_482611_6	ko:K06937
k141_482611_8	ko:K03709
k141_482611_12	ko:K06965
k141_482611_13	ko:K03926
k141_410005_1	ko:K01654
k141_483676_2	ko:K01256,ko:K13722
k141_483676_6	ko:K03124
k141_483676_8	ko:K01849
k141_483676_9	ko:K00053
k141_333751_2	ko:K03433
k141_333751_3	ko:K07041
k141_333751_4	ko:K09152
k141_333751_6	ko:K01262,ko:K01271
k141_333751_10	ko:K13038
k141_333751_11	ko:K00606
k141_333751_12	ko:K09722
k141_333751_13	ko:K06982
k141_333751_15	ko:K01515
k141_333751_17	ko:K09808
k141_333751_18	ko:K02003,ko:K09810
k141_192164_9	ko:K01874
k141_192164_10	ko:K01251
k141_192164_11	ko:K05710
k141_192164_12	ko:K01916
k141_192164_13	ko:K01883
k141_192164_16	ko:K09149
k141_192164_18	ko:K02016
k141_192164_19	ko:K06942
k141_192164_21	ko:K06929
k141_192164_23	ko:K03524
k141_192164_26	ko:K03124
k141_192164_27	ko:K07101
k141_192164_30	ko:K03821
k141_192164_35	ko:K07304
k141_45358_2	ko:K06932
k141_45358_4	ko:K00054
k141_45358_5	ko:K00765
k141_45358_6	ko:K00013
k141_45358_7	ko:K00817
k141_45358_9	ko:K01693
k141_45358_10	ko:K02501
k141_45358_11	ko:K01814
k141_45358_12	ko:K02500
k141_45358_13	ko:K01496
k141_45358_15	ko:K01733
k141_45358_16	ko:K21029
k141_45646_3	ko:K00571,ko:K00590
k141_47510_5	ko:K06039,ko:K07235
k141_338466_1	ko:K04795
k141_338466_2	ko:K03470
k141_338466_3	ko:K00555
k141_338466_4	ko:K02427
k141_489650_3	ko:K15987
k141_489650_4	ko:K07043
k141_489650_5	ko:K09735
k141_489650_6	ko:K03593
k141_339108_5	ko:K02866
k141_339108_6	ko:K01170
k141_197560_2	ko:K01821
k141_490446_2	ko:K04763
k141_490446_5	ko:K00762
k141_490446_9	ko:K06223
k141_490446_10	ko:K10944
k141_490446_12	ko:K10946
k141_490446_13	ko:K10945
k141_197975_5	ko:K01845
k141_197975_6	ko:K01749
k141_197975_7	ko:K02303
k141_197975_8	ko:K01719
k141_197975_9	ko:K09014
k141_197975_10	ko:K09014,ko:K09015
k141_197975_11	ko:K05710
k141_197975_12	ko:K11717
k141_197975_13	ko:K04488
k141_197975_15	ko:K00927
k141_197975_16	ko:K19302
k141_197975_20	ko:K07466,ko:K10742
k141_197975_22	ko:K06950
k141_197975_24	ko:K01698
k141_197975_25	ko:K02492
k141_197975_26	ko:K02304
k141_198002_3	ko:K00847
k141_198002_4	ko:K22447
k141_198002_5	ko:K01486
k141_198002_6	ko:K02929
k141_198002_7	ko:K02978
k141_198002_8	ko:K19712
k141_198002_9	ko:K02233
k141_198002_10	ko:K02227
k141_198002_11	ko:K02232
k141_198002_12	ko:K04720
k141_198002_13	ko:K00133
k141_198002_14	ko:K03718
k141_198002_15	ko:K02257
k141_198002_30	ko:K02107
k141_198002_31	ko:K03626
k141_198002_32	ko:K07398
k141_198002_34	ko:K03665
k141_198002_35	ko:K07254
k141_198002_36	ko:K03136
k141_198002_37	ko:K00135,ko:K18601
k141_198002_41	ko:K14654
k141_198002_43	ko:K08096
k141_198002_44	ko:K00794
k141_198002_45	ko:K02858
k141_198002_46	ko:K00793
k141_198002_47	ko:K07126
k141_198002_49	ko:K03413
k141_198002_51	ko:K01644
k141_198002_53	ko:K06875
k141_198002_54	ko:K02966
k141_417229_6	ko:K07143
k141_417229_7	ko:K03113
k141_126032_4	ko:K21029
k141_126032_5	ko:K21029
k141_126032_12	ko:K00928
k141_126032_14	ko:K01998,ko:K11955
k141_126032_15	ko:K01997
k141_126032_16	ko:K01995
k141_126032_17	ko:K01996
k141_126032_22	ko:K01079
k141_126032_23	ko:K03497
k141_126032_24	ko:K03124
k141_126301_4	ko:K04796
k141_126301_7	ko:K02908
k141_126301_8	ko:K02600
k141_126301_9	ko:K02950
k141_126301_10	ko:K02992
k141_51499_1	ko:K03049
k141_51499_2	ko:K03050
k141_51499_3	ko:K00767
k141_51499_5	ko:K03517
k141_51499_6	ko:K06989
k141_126493_2	ko:K18882
k141_269161_1	ko:K03330
k141_269161_2	ko:K09482
k141_269161_3	ko:K13525
k141_269161_4	ko:K02886
k141_269161_5	ko:K01512
k141_420186_7	ko:K22223
k141_420186_8	ko:K06944
k141_345856_1	ko:K03265
k141_345856_2	ko:K15736
k141_345856_5	ko:K00015
k141_345856_7	ko:K00174
k141_345856_8	ko:K00175
k141_345856_16	ko:K01703
k141_345856_17	ko:K01704
k141_345856_18	ko:K01703
k141_345856_19	ko:K01704
k141_345856_20	ko:K00966,ko:K03430
k141_345856_21	ko:K02996
k141_345856_22	ko:K02871
k141_345856_23	ko:K02883
k141_345856_24	ko:K03047
k141_345856_25	ko:K14574
k141_345856_26	ko:K03679
k141_345856_27	ko:K11600
k141_345856_28	ko:K12589
k141_345856_29	ko:K02921
k141_345856_30	ko:K09741
k141_345856_31	ko:K04798
k141_345856_32	ko:K10848
k141_345856_33	ko:K07060
k141_345856_34	ko:K00858
k141_345856_35	ko:K01011
k141_345856_40	ko:K03455
k141_209100_1	ko:K01755
k141_209100_3	ko:K00240
k141_209100_4	ko:K00242
k141_209100_5	ko:K00241
k141_209100_6	ko:K00239
k141_209100_9	ko:K03622
k141_209100_11	ko:K00528
k141_209100_13	ko:K00826
k141_209100_14	ko:K18855
k141_137406_5	ko:K03424
k141_137406_6	ko:K02962
k141_137406_8	ko:K06963
k141_137406_9	ko:K07566
k141_137406_17	ko:K01939
k141_137406_19	ko:K01591
k141_137406_21	ko:K15888
k141_137406_22	ko:K08975
k141_62623_5	ko:K01507
k141_62623_6	ko:K03120
k141_62623_7	ko:K03124
k141_62623_8	ko:K08602
k141_62623_11	ko:K02626
k141_507677_1	ko:K12574
k141_507677_5	ko:K00059
k141_65147_3	ko:K00537
k141_65168_1	ko:K07159
k141_217505_1	ko:K19169
k141_217505_2	ko:K19170
k141_217505_4	ko:K19172
k141_217505_5	ko:K04487
